date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(feet)
1/4/1985,0,22.81,0.512000231,429.68,1534.43,0.015606034,35.87
2/4/1985,21.55,18.835,0.512000231,327.1,1361.97,0.047685104,35.87
3/4/1985,2.95,14.935,0.512073148,419.84,980.23,0.104040227,36.16
4/4/1985,0,16.29,0.516,532.99,825.28,0.073695161,36.34
5/4/1985,0,20.22,0.516,508.34,1091.2,0.069360151,36.58
6/4/1985,0.12,21.23,0.516,446.06,1376.45,0.052020113,36.58
7/4/1985,0,22.78,0.520000116,394.86,1703.29,0.036414079,36.76
8/4/1985,0,23.02,0.520000116,440.03,1546.95,0.02774406,36.86
9/4/1985,0,21.515,0.520000116,421.06,1503.1,0.02297555,36.76
10/4/1985,0,18.42,0.520446528,475.7,1103.19,0.019507543,36.43
11/4/1985,0,20.33,0.524,480.62,1204.84,0.016473036,36.18
12/4/1985,8.63,21.06,0.524,255.44,1821.39,0.015606034,36.02
13/4/1985,7.72,22.675,0.524,229.06,2105.37,0.016473036,36.45
14/4/1985,0.55,23.185,0.527999884,352.63,1985.22,0.016473036,36.71
15/4/1985,13.37,22.305,0.527999884,227.42,2085.87,0.022542049,36.89
16/4/1985,0.65,20.98,0.527999884,407.27,1633.2,0.033813074,37.15
17/4/1985,0,21.57,0.527999884,478.1,1448.6,0.033379573,37.22
18/4/1985,0,21.75,0.531999884,474.51,1487.49,0.029911565,37.29
19/4/1985,0,22.38,0.531999884,457.06,1593.7,0.028611062,37.37
20/4/1985,0,22.835,0.531999884,454.33,1632.21,0.022542049,37.34
21/4/1985,0,22.96,0.533057523,455.76,1629.02,0.017340038,37.3
22/4/1985,0,22.83,0.536000231,493.02,1467.91,0.013438529,37.35
23/4/1985,0,23.33,0.536000231,465.48,1620.21,0.011704526,37.16
24/4/1985,0,23.4,0.536000231,495.33,1504.89,0.010404023,36.75
25/4/1985,0,23.255,0.53815162,509.21,1435.63,0.009537021,36.35
26/4/1985,0,23.545,0.54,510.72,1440.24,0.009537021,35.85
27/4/1985,0,23.6,0.54,529.37,1358.79,0.008670019,35.31
28/4/1985,0,23.79,0.54,502.34,1493.97,0.006936015,34.86
29/4/1985,0,24.9,0.542151389,469.03,1708.71,0.00476851,34.69
30/4/1985,0,25.115,0.544,449.27,1816.2,0.004204959,34.5
1/5/1985,0,23.67,0.544,491.31,1513.83,0.003944859,34.08
2/5/1985,0,23.265,0.544,494.85,1464.22,0.003988209,33.84
3/5/1985,0,24.165,0.545646181,424.16,1832.47,0.006936015,33.59
4/5/1985,0,24.29,0.547999653,426.85,1840.98,0.007369516,33.62
5/5/1985,0,24.545,0.547999653,443.18,1803.92,0.005635512,34.05
6/5/1985,0,24.48,0.547999653,470.41,1683.76,0.003901509,34.24
7/5/1985,0,23.87,0.548446181,514.44,1441.23,0.002817756,34.29
8/5/1985,0,23.87,0.552000116,502.06,1489.87,0.002340905,34.29
9/5/1985,0,24.575,0.552000116,503.95,1493.77,0.002080805,34.22
10/5/1985,0,25.105,0.552000116,501.35,1527.4,0.001907404,33.98
11/5/1985,2.13,25.22,0.552000116,447.81,1715.78,0.002124155,33.9
12/5/1985,0,25.08,0.554151736,496.25,1553.24,0.001994104,34.15
13/5/1985,0,25.78,0.555999884,482.02,1584.08,0.001734004,34.32
14/5/1985,0,27.1,0.555999884,470.13,1705.78,0.001690654,34.18
15/5/1985,0,26.95,0.555999884,489.61,1587.12,0.003554708,33.82
16/5/1985,0.07,26.945,0.555999884,460.21,1718.05,0.005635512,33.91
17/5/1985,0,25.685,0.558151273,485.87,1487.16,0.002644356,33.87
18/5/1985,0,24.22,0.560000116,453.61,1511.93,0.001647304,33.83
19/5/1985,0,24.325,0.560000116,478.38,1418.83,0.001560603,33.84
20/5/1985,0,26.8,0.560000116,430.44,1830.92,0.001517253,33.83
21/5/1985,0,28.175,0.560000116,398.53,2128.17,0.001517253,33.67
22/5/1985,0,27.27,0.560446412,453.88,1760.89,0.002124155,33.37
23/5/1985,0,26.44,0.562577199,427.45,1814.77,0.002601006,33.15
24/5/1985,5.31,26.11,0.564000231,276.38,2302.88,0.012571527,33.16
25/5/1985,5.98,24.82,0.564000231,287.3,2123.55,0.008236518,33.5
26/5/1985,0,24.95,0.564000231,458.36,1638.93,0.00476851,33.83
27/5/1985,0,24.755,0.564000231,495.31,1467.32,0.003077857,34.03
28/5/1985,0,24.285,0.564000231,514.2,1352.42,0.002340905,34.07
29/5/1985,0,25.5,0.565057755,500.79,1495.25,0.001603953,34
30/5/1985,0,26.125,0.56722419,500.87,1535.09,0.001950754,33.8
31/5/1985,0,27.04,0.568,494.37,1635.61,0.001994104,33.56
1/6/1985,0,27.755,0.568,457.38,1882.4,0.001257153,33.17
2/6/1985,0,27.755,0.568,453.53,1897.1,0.001040402,33.27
3/6/1985,0,28.365,0.568,462.92,1901.11,0.000997052,33.32
4/6/1985,0,29.555,0.568,454.83,2055.03,0.001777354,33.12
5/6/1985,0,29.625,0.568,448.94,2092.39,0.001257153,32.91
6/6/1985,0,28.45,0.568072917,493.2,1739.46,0.000953702,32.81
7/6/1985,0,28.895,0.569057407,445.08,2040.47,0.001387203,32.61
8/6/1985,0,28.965,0.57015162,435.57,2100.14,0.001473903,32.5
9/6/1985,1.45,28.435,0.571224421,446.92,1953.47,0.002557656,32.51
10/6/1985,11.72,28.095,0.571730671,359.59,2222.08,0.001820704,32.56
11/6/1985,0.9,28.815,0.572000231,419.66,2253.11,0.003294607,32.65
12/6/1985,5.61,28.495,0.572000231,303.28,2560.8,0.001647304,32.77
13/6/1985,19.11,26.96,0.572000231,264.87,2578.41,0.00476851,33.21
14/6/1985,32.75,26,0.572000231,234.35,2560,0.006069013,33.78
15/6/1985,19.16,25.2,0.572000231,214.65,2516.27,0.007803017,34.38
16/6/1985,0.68,27.74,0.572000231,352.96,2722.48,0.006936015,34.84
17/6/1985,0,28.32,0.572000231,409.14,2612.22,0.004335009,35.27
18/6/1985,0,28.51,0.572000231,402.25,2670.51,0.003814808,35.56
19/6/1985,0,28.59,0.572000231,389.62,2738.81,0.002254205,35.79
