date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(feet)
1/9/1980,6.31,26.985,0.52,311.55,2499.09,0.159193762,24.82
2/9/1980,18.02,26.61,0.52,295.68,2514.64,0.159193762,25.01
3/9/1980,38.61,25.75,0.52,273.44,2480,0.709135851,25.31
4/9/1980,6.45,26.535,0.517540278,300.16,2490.87,2.590516679,25.58
5/9/1980,0,27.79,0.515999769,383.14,2720,2.156351872,25.79
6/9/1980,0,27.765,0.515999769,405.34,2640,1.519576823,25.98
7/9/1980,0,27.59,0.515999769,388.96,2669.16,1.027523375,26.13
8/9/1980,0,27.555,0.511999884,408.98,2595.3,0.723608011,26.19
9/9/1980,0,27.425,0.511999884,396.66,2616.77,0.492053447,26.13
10/9/1980,5,26.25,0.511999884,290.18,2480,0.347331845,26.1
11/9/1980,11.1,25.585,0.508000116,315.86,2293.58,0.289443204,26.09
12/9/1980,3.48,26.445,0.508000116,314.12,2400,0.260498884,26.02
13/9/1980,8.42,26.575,0.508000116,336.94,2423.31,0.260498884,25.84
14/9/1980,10.08,26.5,0.508000116,308.38,2400,0.781496652,25.74
15/9/1980,0.23,26.76,0.503999884,391.19,2483.05,3.169403087,25.96
16/9/1980,0,27.41,0.503999884,376.37,2640,3.661456535,26.09
17/9/1980,7.33,27.5,0.503999884,266.76,2720,2.257656994,26.185
18/9/1980,0,27.73,0.500000116,367.31,2712.94,2.214240513,26.28
19/9/1980,0,27.255,0.500000116,411.33,2481.01,1.635354104,26.45
20/9/1980,0,28.25,0.500000116,382.29,2719.82,1.114356337,26.58
21/9/1980,0,27.99,0.500000116,394.8,2637.21,0.781496652,26.61
22/9/1980,0,27.965,0.496000231,393.77,2628.3,0.564414248,26.53
23/9/1980,0,28.145,0.496000231,383.8,2686.48,0.448636967,26.31
24/9/1980,0,27.395,0.496000231,396.78,2526.72,0.419692646,26.19
25/9/1980,0.52,27.61,0.492,369.11,2641.75,0.839385292,26.1
26/9/1980,0,28.09,0.492,388.36,2643.17,0.593358569,25.96
27/9/1980,0,28.21,0.492,374.19,2707.2,0.65124721,25.89
28/9/1980,0,27.91,0.492,365.36,2690.49,0.463109127,25.86
29/9/1980,0,27.495,0.488000116,373.49,2597.87,0.361804005,25.85
30/9/1980,0,27.065,0.488000116,386.99,2481.15,0.289443204,25.73
1/10/1980,22.23,26.945,0.488000116,233.42,2717.89,0.274971044,25.6
2/10/1980,7.06,26.385,0.484000116,234.13,2629.7,0.781496652,25.45
3/10/1980,0.88,25.21,0.484000116,288.01,2472.07,0.622302889,25.36
4/10/1980,0,23.535,0.484000116,396.73,2011.81,0.463109127,25.43
5/10/1980,0,22.57,0.482459491,431.77,1771.16,0.347331845,25.5
6/10/1980,0,22.415,0.48,447.64,1693.45,0.274971044,25.43
7/10/1980,0,23.61,0.48,391.59,2000,0.217082403,25.32
8/10/1980,0,23.685,0.48,377.53,2058.48,0.202610243,25.13
9/10/1980,0,24.18,0.475999884,387.21,2080,0.173665923,24.95
10/10/1980,0,24.75,0.475999884,383.85,2120,0.159193762,24.59
11/10/1980,0,24.585,0.475999884,379.8,2111.48,0.144721602,24.14
12/10/1980,0,23.09,0.475771991,408.7,1828.51,0.133143874,23.64
13/10/1980,0,20.575,0.472,453.3,1411.62,0.130249442,23.1
14/10/1980,0,22.5,0.472,420.18,1720,0.117224498,22.66
15/10/1980,0,24,0.472,379.58,1999.87,0.111435634,22.22
16/10/1980,0,24.845,0.468,378,2095.41,0.102752338,21.86
17/10/1980,0,25.705,0.468,357.86,2265.38,0.117224498,21.48
18/10/1980,0,25.79,0.468,368.15,2213.02,0.114330066,20.97
19/10/1980,0,26.535,0.468,319.24,2480,0.108541202,20.31
20/10/1980,0,25.175,0.464,348.47,2200,0.102752338,19.72
21/10/1980,0,24.9,0.464,325.51,2248.4,0.099857905,19.26
22/10/1980,4.75,23.75,0.464,239.42,2120,0.098410689,18.77
23/10/1980,3.05,24.645,0.464,214.24,2312.51,0.117224498,18.34
24/10/1980,0,24.29,0.46,330.58,2128.59,0.125907794,17.97
25/10/1980,0,22.78,0.46,315.89,2000,0.133143874,17.76
26/10/1980,0,17.565,0.46,437.96,1120,0.123013362,17.76
27/10/1980,0,20.245,0.459771991,420.29,1360,0.10564677,17.75
28/10/1980,0,24.765,0.456000116,334.47,2120,0.099857905,17.5
29/10/1980,0,24.985,0.456000116,320.89,2199.67,0.099857905,17.23
30/10/1980,0,26.25,0.456000116,305.15,2400,0.094069041,16.99
31/10/1980,0,25.16,0.456000116,246.26,2451.92,0.107093986,16.71
1/11/1980,0,20.48,0.452,284.87,1769.66,0.14182717,16.69
2/11/1980,0,21,0.452,344.46,1639.61,0.12735501,16.58
3/11/1980,0,22.73,0.452,343.28,1800,0.114330066,16.24
4/11/1980,1.69,23.155,0.452,261.45,2120,0.102752338,15.92
5/11/1980,0,21.74,0.448000116,248.11,1998.87,0.089727393,15.66
6/11/1980,0,16.645,0.448000116,400.34,1103.16,0.082491313,15.46
7/11/1980,0,17.23,0.448000116,409.92,1076.75,0.085385745,15.27
8/11/1980,0,20.31,0.448000116,368.97,1440,0.091174609,15.06
