date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(feet)
1/9/1980,7.01,26.92,0.523999884,325.86,2320,0.129710283,32.09
2/9/1980,3.7,26.985,0.523999884,321.75,2500.23,0.111180242,32.07
3/9/1980,0.06,25.99,0.52,397.31,2329.74,0.092650202,32.05
4/9/1980,5.81,26.01,0.52,299.6,2322.91,0.101915222,32.03
5/9/1980,0,26.825,0.52,396.88,2443.27,0.101915222,32.01
6/9/1980,0,27,0.515999884,413.98,2399.78,0.08709119,31.99
7/9/1980,0.89,27.255,0.515999884,431.82,2321.77,0.074120162,31.97
8/9/1980,0,27.505,0.515999884,425.11,2401.1,0.067634647,31.95
9/9/1980,0,26.47,0.512,444.12,2203.11,0.067634647,31.93
10/9/1980,2.74,26.325,0.512,329.88,2253.77,0.067634647,31.91
11/9/1980,6,26.32,0.512,295.49,2342.75,0.065781643,31.91
12/9/1980,0,25.985,0.508000231,406.72,2280,0.059296129,31.91
13/9/1980,0,26,0.508000231,422.24,2200,0.049104607,31.93
14/9/1980,0,26.675,0.508000231,386.23,2388.1,0.045398599,31.95
15/9/1980,0,26.905,0.504000231,397.3,2369.96,0.039839587,31.97
16/9/1980,0,27.36,0.504000231,403.06,2400,0.036133579,31.99
17/9/1980,18.18,25.6,0.504000231,229.94,2480,0.037986583,32.03
18/9/1980,23.88,25.015,0.5,208.65,2471.24,0.065781643,32.17
19/9/1980,0,26.235,0.5,337.83,2480.6,0.092650202,32.19
20/9/1980,0,26.975,0.5,367.81,2480,0.111180242,32.2
21/9/1980,0,27.19,0.5,377.61,2469.95,0.08245868,32.2
22/9/1980,0,28,0.496,362.05,2640,0.0917237,32.19
23/9/1980,7.91,27.185,0.496,283.03,2458.9,0.092650202,32.18
24/9/1980,0.1,26.98,0.496,382.42,2400,0.0917237,32.14
25/9/1980,0,26.495,0.491999884,384.64,2320,0.0917237,32.12
26/9/1980,0,26.945,0.491999884,394.51,2321.71,0.222360485,32.13
27/9/1980,0,27.065,0.491999884,390.84,2341.66,0.296480646,32.13
28/9/1980,11.97,26.845,0.487999884,284.33,2474.87,0.296480646,32.14
29/9/1980,2.88,26.545,0.487999884,282.71,2486.62,0.352070768,32.16
30/9/1980,9.65,26.03,0.487999884,250.26,2410.65,0.361335788,32.18
1/10/1980,3.39,22.265,0.483999653,204.31,2158.67,0.352070768,32.17
2/10/1980,0,22.265,0.483999653,310.4,2019.56,0.342805747,32.15
3/10/1980,0,21.5,0.483999653,376.27,1760,0.324275707,32.13
4/10/1980,0,17.375,0.480000463,453.56,1179.74,0.287215626,32.08
5/10/1980,0,18.295,0.480000463,454.15,1225.46,0.240890525,32.02
6/10/1980,0,17.46,0.480000463,449.19,1173.89,0.203830444,31.94
7/10/1980,0,17.375,0.475999884,441.58,1182.47,0.166770364,31.9
8/10/1980,0,17.64,0.475999884,467.4,1073.41,0.138975303,31.87
9/10/1980,0,18.665,0.475999884,468.5,1111.47,0.120445263,31.82
10/10/1980,0,20.585,0.471999884,453.49,1293.4,0.092650202,31.76
11/10/1980,0,22.035,0.471999884,426.7,1491.1,0.08245868,31.71
12/10/1980,0,18.99,0.471999884,438.87,1216.67,0.072267158,31.65
13/10/1980,0,15.97,0.468,450.85,940.7,0.063002137,31.56
14/10/1980,0,16.92,0.468,432.4,1067.1,0.059296129,31.51
15/10/1980,0,19.985,0.468,394.44,1397.6,0.052810615,31.48
16/10/1980,0,21.755,0.467474769,365.02,1636.24,0.049104607,31.43
17/10/1980,0,22.995,0.463999884,330.25,1878.25,0.047251603,31.4
18/10/1980,0,23.805,0.463999884,317.38,1990.59,0.045398599,31.39
