date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(feet)
1/10/1997,0,20.21,0.483999537,439.84,1280,0.105945298,42.38
2/10/1997,0,17.585,0.483999537,437.56,1093.36,0.080518427,42.35
3/10/1997,0,17.505,0.480000463,420.14,1132.83,0.076280615,42.32
4/10/1997,0,18.765,0.480000463,420.71,1205.87,0.072042803,42.37
5/10/1997,0,20.3,0.480000463,403.39,1360,0.059329367,42.42
6/10/1997,0,21.32,0.476,389.06,1469.36,0.055091555,42.44
7/10/1997,0,22.915,0.476,364.16,1728.77,0.055091555,42.44
8/10/1997,0,22.84,0.475297917,352.71,1749.93,0.059329367,42.44
9/10/1997,0,22.94,0.472,349.75,1760,0.063567179,42.47
10/10/1997,0,23.165,0.472,336.37,1800,0.067804991,42.51
11/10/1997,0,22.51,0.467999537,345.28,1725.11,0.072042803,42.48
12/10/1997,0,22.425,0.467999537,341.54,1722.98,0.072042803,42.44
13/10/1997,0,22.695,0.467999537,319.2,1797.94,0.067804991,42.46
14/10/1997,38.42,18.615,0.464000347,269.34,1315.82,0.122896546,42.48
15/10/1997,0,12.685,0.464000347,368.58,889.52,0.322073707,42.46
16/10/1997,0,13.11,0.464000347,346.36,937.08,0.258506528,42.45
17/10/1997,0,13.085,0.460000116,337.91,954.07,0.199177161,42.43
18/10/1997,0,12.675,0.460000116,357.99,909.83,0.152561229,42.43
19/10/1997,0,11.745,0.460000116,383.06,800,0.127134358,42.49
20/10/1997,0,11.8,0.455999769,393.76,755.23,0.114420922,42.53
21/10/1997,0,13.635,0.455999769,400.66,810.33,0.105945298,42.5
22/10/1997,7.27,14.295,0.455999769,278.99,925.34,0.105945298,42.53
23/10/1997,0,9.495,0.452000116,376.19,649.21,0.105945298,42.52
24/10/1997,22.78,12.145,0.452000116,291.15,734.45,0.423781193,42.42
25/10/1997,5.7,18.635,0.452000116,243.67,1452.72,0.779757395,42.4
26/10/1997,43.31,19.73,0.448,122.41,1852.42,3.428389851,42.31
27/10/1997,8.06,12.415,0.448,222.87,925.93,3.763176994,42.4
28/10/1997,0,6.235,0.448,226.89,701.17,0.96622112,42.44
29/10/1997,0,8.24,0.443999769,303.29,693.36,0.597531482,42.42
30/10/1997,0,10.265,0.443999769,351,701.92,0.457683688,42.41
31/10/1997,0,12.405,0.443999769,332.94,840.68,0.381403074,42.35
1/11/1997,9.19,13.67,0.439999769,189.41,1102.68,0.48311056,42.24
2/11/1997,10.25,12.09,0.439999769,220.46,919.48,0.800946455,42.27
3/11/1997,0,11.505,0.439999769,295.8,879.36,0.542439927,42.37
4/11/1997,0,8.46,0.436909606,307.49,695.22,0.432256817,42.43
5/11/1997,0,9.61,0.436000116,314.81,720,0.364451826,42.44
6/11/1997,12.65,11.74,0.436000116,219.56,898.98,0.381403074,42.37
